Bank,Specialisation,Country,Year,Loans,Assets,Exposure_app,Exposure_pepp,GovSec,GovSec_over_A,Loans_G,Loans_G_H,L_over_A,L_over_A_G,L_over_A_G_H,ROA,Deposits_over_A,Equity_over_A,treat_50,treat_75,treat_50_pepp,treat_75_pepp,app_dummy,pepp_dummy
ALSABAIL - ALSACIENNE DE CREDIT BAIL IMMOBILIER SA,Real estate & mortgage finance institution,FR,2020,14540,429618,7.215557979,8.030751007,32528,7.571377363,109.1963191,79.52094823,3.384401957,2.223865432,77.95548763,0.335647017,3.773352141,7.966379435,1,0,1,1,0,1
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2012,1191298,1493021,0.211931765,3.923311646,7187,0.481373001,3.148006567,2.109565041,79.7911081,-0.417671805,-0.34775748,0.089616958,76.95939977,3.990633755,0,0,1,0,0,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2013,1237041,1520031,0.211931765,3.923311646,10320,0.678933522,3.767876858,2.527491016,81.38261654,1.591508443,1.32094665,0.086840334,76.47580872,3.985839762,0,0,1,0,0,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2014,1243589,1478306,0.211931765,3.923311646,3133,0.211931765,0.527931631,0.352263554,84.12257002,2.739953484,2.219594042,0.109381955,80.83285869,4.172207919,0,0,1,0,0,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2015,1272992,1561656,0.211931765,3.923311646,54418,3.48463426,2.336848131,1.563918653,81.51551942,-2.6070506,-2.087639106,-0.014920059,81.80380314,3.984232123,0,0,1,0,1,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2016,1327504,1634581,0.211931765,3.923311646,79743,4.878497915,4.193045212,2.814620828,81.21371777,-0.301801657,-0.24713051,0.075126286,81.22191559,3.881606357,0,0,1,0,1,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2017,1412782,1674556,0.211931765,3.923311646,75688,4.519884674,6.226032282,4.192841813,84.36755773,3.153839963,2.555837881,0.066525097,82.12666522,3.968872943,0,0,1,0,1,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2018,1533208,1724873,0.211931765,3.923311646,70536,4.089344549,8.180146223,5.525684757,88.88816742,4.52060969,3.509472932,0.062091528,80.57717873,3.883358369,0,0,1,0,1,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2019,1528907,1744776,0.211931765,3.923311646,68453,3.923311646,-0.280917133,-0.187190324,87.62769547,-1.260471944,-0.949851396,0.080755352,82.04073188,4.845378433,0,0,1,0,0,0
ALTE LEIPZIGER BAUSPAR AG,Real estate & mortgage finance institution,DE,2020,1516876,1697946,0.211931765,3.923311646,57080,3.361708794,-0.790014428,-0.525980995,89.33593883,1.708243359,1.291231546,0.050531642,83.50760272,5.029547465,0,0,1,0,0,1
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2012,127501,460686,4.245305819,2.890739833,13840,3.004215453,74.55469606,53.92908452,27.67633486,11.3420457,37.59072673,-1.004371741,67.01788203,12.23175873,1,0,1,0,0,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2013,205057,534055,4.245305819,2.890739833,20391,3.818146071,47.51637816,33.7156756,38.3962326,10.71989774,22.86938295,0.53870856,60.12920018,13.8150565,1,0,1,0,0,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2014,239062,620662,4.245305819,2.890739833,26349,4.245305819,15.34349432,10.47635772,38.5172606,0.121028005,0.209918121,0.936097264,65.94329925,12.84306112,1,0,1,0,0,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2015,249141,650768,4.245305819,2.890739833,30056,4.618543014,4.129606874,2.77175445,38.28415042,-0.233110183,-0.404288707,0.076524967,58.6261156,12.18975119,1,0,1,0,1,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2016,236339,552491,4.245305819,2.890739833,21407,3.874633252,-5.275178625,-3.485334615,42.77698641,4.492835993,7.529138514,0.73937856,61.68118576,14.95481374,1,0,1,0,1,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2017,289793,618594,4.245305819,2.890739833,33934,5.485665881,20.389966,14.02125458,46.84704346,4.070057044,6.148075232,0.708218961,54.15830092,14.2747909,1,0,1,0,1,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2018,183636,582695,4.245305819,2.890739833,69585,11.94192502,-45.62113376,-27.81811845,31.5149435,-15.33209996,-24.49040602,0.344948901,55.13090039,15.11665623,1,0,1,0,1,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2019,196418,542906,4.245305819,2.890739833,15694,2.890739833,6.728950402,4.53511682,36.17900705,4.664063552,9.402510928,0.32510232,58.02440938,17.77711059,1,0,1,0,0,0
ANADOLUBANK NEDERLAND NV,Commercial bank,NL,2020,162807,587262,4.245305819,2.890739833,21409,3.645561947,-18.76795912,-12.09805577,27.72306058,-8.455946471,-16.89819279,0.30684771,58.99598476,16.6131982,1,0,1,0,0,1
APS BANK PLC,Commercial bank,MT,2012,506045,909137,16.98310296,6.570792709,183223,20.15350822,6.615905708,4.458135485,55.66212793,-2.471718277,-2.875264188,0.690874973,81.97158404,8.871160232,1,1,1,1,0,0
APS BANK PLC,Commercial bank,MT,2013,548919,960538,16.98310296,6.570792709,179599,18.69775064,8.13252915,5.493113749,57.14703635,1.484908418,1.762802907,0.908136898,81.40011119,9.720281759,1,1,1,1,0,0
APS BANK PLC,Commercial bank,MT,2014,623631,1098062,16.98310296,6.570792709,186485,16.98310296,12.76079577,8.680028511,56.7937876,-0.353248748,-0.412944259,0.617815752,81.52144414,9.815292761,1,1,1,1,0,0
APS BANK PLC,Commercial bank,MT,2015,695800,1108493,16.98310296,6.570792709,159088,14.351737,10.95034154,7.428378508,62.76990473,5.976117126,6.777276619,0.798561651,85.06801577,10.35477897,1,1,1,1,1,0
APS BANK PLC,Commercial bank,MT,2016,806011,1281507,16.98310296,6.570792709,157130,12.26134543,14.70351273,10.03007357,62.89555968,0.125654954,0.133366634,0.82918002,85.79008932,9.836309907,1,1,1,1,1,0
APS BANK PLC,Commercial bank,MT,2017,1024590,1492633,16.98310296,6.570792709,154693,10.36376658,23.99504215,16.58029319,68.64312929,5.747569608,5.912095886,0.876839786,82.16232657,8.837403434,1,1,1,1,1,0
APS BANK PLC,Commercial bank,MT,2018,1253883,1890909,16.98310296,6.570792709,158438,8.378933095,20.19526039,13.88365889,66.31112338,-2.332005909,-2.290801469,0.724942343,87.43461478,7.351755161,1,1,1,1,1,0
APS BANK PLC,Commercial bank,MT,2019,1486869,2158598,16.98310296,6.570792709,141837,6.570792709,17.04274303,11.66494561,68.8812368,2.570113422,2.550936963,0.669971898,89.38690761,8.389797452,1,1,1,1,0,0
APS BANK PLC,Commercial bank,MT,2020,1689003,2407037,16.98310296,6.570792709,236837,9.839358514,12.74658473,8.670179193,70.16938252,1.28814572,1.239007571,0.412665032,88.24745943,7.96360837,1,1,1,1,0,1
ATTICA BANK SA,Commercial bank,GR,2012,3240904,3898279,2.100018224,1.882880058,72175,1.851458041,-6.798812034,-4.480050741,83.13678934,0.067071705,0.053813158,-4.658440301,74.84589995,2.471346971,0,0,0,0,0,0
ATTICA BANK SA,Commercial bank,GR,2013,3300524,4054577,2.100018224,1.882880058,167315,4.126571033,1.822894051,1.218932255,81.40242496,-1.734364374,-1.400510625,-2.768599536,81.69860876,10.10465457,0,0,0,0,0,0
ATTICA BANK SA,Commercial bank,GR,2014,3193065,3956299,2.100018224,1.882880058,83083,2.100018224,-3.309997319,-2.194358999,80.70838428,-0.694040688,-0.570022972,-1.262391948,82.25723081,8.9735887,0,0,0,0,0,0
ATTICA BANK SA,Commercial bank,GR,2015,2757428,3669255,2.100018224,1.882880058,52900,1.441709557,-14.66829094,-9.528828931,75.14953308,-5.558851196,-4.69961373,-9.452163995,58.39068149,18.53809561,0,0,0,0,1,0
ATTICA BANK SA,Commercial bank,GR,2016,2776958,3605149,2.100018224,1.882880058,51958,1.441216438,0.705772278,0.471067007,77.02755143,1.878018348,1.652264365,-1.382162013,52.50129745,17.58335092,0,0,0,0,1,0
ATTICA BANK SA,Commercial bank,GR,2017,2192074,3537449,2.100018224,1.882880058,47917,1.354563698,-23.65079563,-15.1015945,61.96764957,-15.05990186,-13.94288489,0.012155652,54.39317994,17.88591157,0,0,0,0,1,0
ATTICA BANK SA,Commercial bank,GR,2018,1592144,3350505,2.100018224,1.882880058,51992,1.551766077,-31.9766592,-20.07699758,47.51952318,-14.44812639,-16.85356667,-0.070347604,68.10537516,14.65143314,0,0,0,0,1,0
ATTICA BANK SA,Commercial bank,GR,2019,1547494,3527734,2.100018224,1.882880058,66423,1.882880058,-2.844468725,-1.887238254,43.86651601,-3.653007164,-5.259698894,0.141677349,73.93292692,14.00561947,0,0,0,0,0,0
ATTICA BANK SA,Commercial bank,GR,2020,1600946,3578472,2.100018224,1.882880058,233805,6.533654588,3.395785618,2.276522626,44.738257,0.871740986,1.316120637,-8.562984425,78.28589968,5.849563724,0,0,0,0,0,1
